"","EEF1A1","COL1A1","ACTB","FN1","COL1A2","COL3A1","ACTG1","FTH1","TPT1","SPARC","UBC","B2M","EEF2","GAPDH","RPL3","AHNAK","XBP1","HSP90AB1","HSP90AA1","RPS4X","RPLP0","PSAP","PABPC1","RPL13A","EEF1G","RPS18","RPL41","RPS6","FTL","CD74","RPL10","HSPA8","RPS3A","RPL7","MGP","RPL4","GNAS","MYH9","TMSL3","RPS2","YWHAZ","TMBIM6","HLA-B","ALDOA","ADAM6","APP","PTMA","RPL8","RPL7A","CD24","GLUL","EIF4G2","COL6A3","PPIA","RPL15","VIM","POSTN","RPS24","RPLP1","GNB2L1","HNRNPA1","RPL9","CANX","TUBB","HLA-C","KRT8","RPS11","HSP90B1","PKM2","P4HB","C4A","RPS3","H3F3A","RPL6","RPL19","ANXA2","ITGB1","RPS8","CTSB","CALR","TUBA1B","HLA-A","RPL5","CTSD","RPL23A","FLNA","HSPA5","HNRNPA2B1","TIMP3","NPM1","RPS27","HNRNPK","TPM4","CSDE1","CLTC","JUP","PDIA3","RPL32","TMSB10","RPL30","DSP","NACA","ENO1","CFL1","RPSA","HDLBP","RPL12","MYL6","RPL11","RPL27A","KRT18","RPS12","AZGP1","RPL13","RPS20","HNRNPU","LDHA","DHCR24","IGFBP5","H3F3B","NCL","RPS23","UBB","ATP1A1","CALM2","SLC39A6","A2M","KRT19","RPL26","RPL29","TAGLN2","EIF4B","DDX5","RPS27A","PTPRF","APLP2","LOC647979","THBS1","HNRNPC","DCN","RPL23","SRRM2","LUM","IGFBP4","PCBP2","FLNB","RPS15A","RPL10A","RHOA","RPS14","SCD","ARF1","COL6A2","RPS7","RPS17","RPL39","ADAR","RPL21","CD59","BGN","EIF4A1","NUCKS1","RPL17","TPM3","HLA-DRA","RPL31","FASN","MAGED2","TXNIP","ATP5B","YWHAE","RPL37","RPL22","RPL14","AEBP1","RPL37A","HMGB1","CTNNB1","DSTN","GANAB","CD164","ITM2B","DDX17","COL6A1","CDH1","DYNC1H1","RPL24","CTNNA1","RPS10","CLU","RPL18A","RPS19","SERPINA3","BTF3","EIF1","RPS25","CD63","RPS9","SET","GATA3"
"TCGA-C8-A134-01A-11R-A115-07",769740,58615,937877,105109,53259,67018,358960,279218,133404,151200,330263,272143,130634,95427,108959,45535,10846,251029,118704,76965,153454,208527,272556,84769,84411,130792,44946,99535,113065,200232,69771,151296,55406,98090,191316,114847,200017,251875,157615,96430,237028,75713,325660,66218,128260,217256,152170,104552,45135,84635,32774,98097,26022,166164,76759,66569,25130,87511,91067,44639,81877,71257,68897,215083,168848,61740,61547,88168,90566,82632,15018,32024,69032,67829,40407,116466,78326,80123,52707,173308,190310,167124,71801,70474,29436,185357,95294,106973,92080,72434,31395,62579,91969,102629,70443,61114,86860,56856,118577,96589,103656,43784,86490,106152,39689,48634,28443,55809,31907,60281,20189,48023,4881,72010,61052,72560,37114,94179,316807,88932,72355,34581,45074,71318,194047,19192,75112,30212,33060,23773,89807,36575,55686,108029,82876,51424,24991,44624,57205,20388,22435,56979,24177,13883,36004,37968,43143,40782,37986,23189,25817,53629,108679,63463,53006,37472,52748,28129,132841,89110,46876,81688,56110,35484,82698,29998,17909,12258,21228,34778,47834,44340,33838,28758,21144,30807,61158,44199,39688,56805,20415,44798,52716,108010,92702,38070,40768,31682,46746,42893,31918,40635,47104,23717,54190,43588,30248,30964,44466,5950
"TCGA-C8-A135-01A-11R-A115-07",578372,360068,332722,381680,257052,242092,481777,325065,128836,152839,132378,74122,95773,175323,156328,126356,84182,140380,191185,89058,104432,116565,339946,120975,261150,142072,214880,148513,110599,95599,107764,144182,128751,185320,35100,84375,93890,103623,126361,76721,127600,73731,36796,218431,199395,183968,116710,161719,113794,58780,114810,55688,88900,82187,46354,54139,122134,88273,55839,69685,66921,60061,54944,92383,20248,95183,81953,47684,85807,213561,12179,58999,54335,55347,270555,54135,59690,63028,44216,61446,64677,21969,57280,55924,99429,38461,70519,52313,55202,52590,73950,45224,32464,51000,67703,60861,48392,37583,147154,76055,29637,89034,80486,186495,35921,79206,50006,55251,59979,48446,69540,70859,238745,68787,100639,35434,26422,68738,127244,57910,61452,49113,43424,89729,41506,11363,49117,68718,39810,37377,60782,41674,31042,56088,33480,87394,20539,31409,30206,28770,31403,19737,42055,20010,44802,16694,59411,51086,27418,50423,92809,41531,39179,65664,36092,52673,29787,33158,22933,51954,46723,39864,33581,39469,46699,46901,488230,20176,20932,58798,27787,75108,38436,26913,60510,53851,26840,26475,45418,58169,19188,22988,22961,36649,44245,29756,35684,33256,65257,12664,31938,54861,3271,25465,25118,44302,28562,34756,34880,6629
"TCGA-C8-A137-01A-11R-A115-07",1335482,750532,425305,790106,603116,645928,288082,253992,245787,359254,213194,71099,322135,736565,253848,93001,144485,249639,287153,153702,277903,185140,522044,159059,214572,159589,135388,79016,86710,25620,152663,170766,140951,230851,13622,189107,103571,125279,78468,156454,245216,108470,32041,243354,62507,72162,60649,62745,209891,1212036,14667,115336,145635,137125,52799,49637,286114,96776,106155,114692,84013,111555,77149,120164,32861,108086,75548,59256,182063,147616,36620,94741,48093,117309,50434,146403,75964,94990,69368,71720,75273,28841,88727,122321,233991,35302,70947,63558,63810,104010,43656,58652,89826,98355,62552,62702,57779,112060,68057,155794,53517,78374,189168,97053,64155,47339,84898,45556,70513,73835,136720,44230,18170,51012,83597,53675,159617,81862,42105,104037,57749,61837,36970,102297,62136,12695,25620,50182,40638,44927,78220,57505,31501,49488,58938,22610,39161,34411,52514,31339,33308,35082,49289,13316,61940,16401,56856,59379,35296,59798,33781,51015,62044,55374,54756,68802,28883,55281,51401,76132,69622,25908,60832,34915,10523,50701,156819,41432,9461,83621,48388,44738,59600,34967,86833,59917,60039,26471,56378,45176,71780,38642,49527,51486,48742,51579,42691,74329,51898,33760,72596,42415,17547,49128,38963,26951,32217,35094,88125,28938
"TCGA-C8-A138-01A-11R-A115-07",632551,849919,640701,399899,587161,500733,202449,235263,424993,356735,316905,329899,96489,241319,155784,70940,66482,138684,255389,177384,109878,94832,154799,134684,97393,162400,102491,182008,215595,470095,130373,43361,79809,99190,17680,110068,456126,99836,213631,144160,124149,106768,262710,229925,828802,63606,157447,155992,121925,92282,48545,53639,144834,133058,104798,138977,102590,146557,150140,110937,85179,75557,57350,58737,160401,293742,112082,78195,105340,62127,115581,69058,155427,92509,276706,128174,54594,77319,78165,92264,87478,145914,78461,61308,45289,46596,63405,76852,23210,65521,53084,65993,68314,44591,39452,73415,104195,87064,159923,83279,28937,89465,52813,121649,55740,34274,75195,90632,59845,94187,249356,37666,38726,85089,55381,47324,36991,27604,82031,70485,36136,59711,83292,47113,70843,4949,71775,52927,52660,85952,92449,33213,46788,38810,16638,36826,35948,29220,57471,64869,97090,45518,97574,51852,47759,26979,60483,38271,50131,73057,77907,78803,124654,62128,44598,71531,27687,41650,27757,135000,61596,58147,41241,50332,111016,58523,34580,56316,15901,38446,70790,60396,36848,76636,124955,58556,83309,21424,37453,35473,37377,55520,37026,111119,88165,33489,66838,45407,48255,85223,36057,55950,19801,38736,39873,52635,107590,52125,34553,46791
"TCGA-C8-A1HE-01A-11R-A13Q-07",1033395,237800,202196,274586,197543,181821,168211,279553,173395,143312,183146,97194,151806,101180,161869,183587,490043,133981,192657,128402,90767,160531,88420,87059,97839,93658,132158,91982,68614,85590,90838,108046,100199,79757,841205,85904,109920,92731,92248,54740,64895,149596,52064,74397,33043,84767,64989,50494,86193,103971,268257,113051,52334,65537,78331,37696,76313,73235,70411,76298,71995,68630,87700,56800,73695,74044,63224,94397,91619,66248,385320,56825,97035,61537,55212,76135,75294,53212,63201,104047,48809,26628,60709,216326,53007,25056,119216,72946,53772,50836,59290,80913,53823,63246,71472,60040,101285,54582,39021,37225,151205,58516,27343,43995,51636,79390,49120,52227,37335,40560,73806,42427,246952,24420,32264,70102,50175,117167,91743,48651,51422,46322,69662,107102,74164,301841,41880,37562,53910,48268,51203,57211,58084,40730,68911,60723,64304,45620,65808,32027,39791,68214,40529,73977,49890,76559,32338,44197,51245,38807,37105,39555,18152,35866,33981,33027,70313,40802,44734,33971,37797,50692,29775,41675,37130,42409,23465,86710,59082,46671,61020,34351,30268,35505,33265,36799,48787,71011,58093,44609,83630,53872,71838,13652,44661,46542,39842,54368,36329,24102,22798,21660,302824,58907,37079,26060,47124,32059,37862,122520
"TCGA-C8-A1HF-01A-11R-A137-07",1221215,941378,500123,788925,722341,711773,433916,203522,211682,397518,207500,378181,137238,444211,207676,23559,202842,199004,233689,186494,225722,108212,124119,159568,163266,200311,149093,258474,217705,320775,171713,113313,346560,149027,30385,145640,142979,109373,134666,199039,110995,81596,263372,110981,734217,56101,199098,117168,199734,115404,37942,107578,96481,192994,90299,103394,226833,158957,76384,105394,157724,179605,67360,171846,150088,54931,108456,115593,83871,158127,96515,105697,151431,180245,123020,79804,97732,128403,119183,111223,165326,159140,129597,67601,109372,44830,84760,127598,39277,98463,66401,93834,90828,70813,81945,39715,78002,115343,179299,73330,24133,111931,134799,87522,88445,40558,78595,81695,103179,97625,63615,70433,18661,65992,89476,74920,75451,44424,38691,81450,59516,84993,67759,69570,101570,12167,68574,30205,59086,51458,51692,55150,91044,79190,48916,35566,33443,58974,74830,89950,49850,29417,146613,28108,64807,13370,81804,64587,42064,59101,33026,51471,57138,118012,44195,77015,33417,44383,26217,78548,68501,42474,103732,59306,136236,188859,27603,31376,28882,62837,54640,57057,87905,41984,82983,46332,65728,24676,45943,39338,52491,31528,46188,47029,23597,27653,62018,46993,54034,4444,65100,58243,19254,44716,45616,62871,53238,42776,73372,46222
"TCGA-C8-A1HG-01A-11R-A137-07",372216,254746,226051,158321,172455,141375,210592,110815,99830,118996,144157,320693,105146,520828,114735,21416,140344,196435,52609,143562,103379,111278,219496,99110,63202,93471,64521,71880,202012,326897,114204,58601,82903,220304,11779,85742,42751,40823,79641,112079,168282,53549,285286,100713,1071798,33409,62488,206602,97464,24983,76627,36220,41525,86668,55701,47399,47933,71232,88517,84291,50127,76598,81200,91629,185812,25745,68541,59183,53236,67093,18481,42812,49581,81222,76022,28459,29000,69043,70166,67280,51272,113346,46903,181742,79935,17550,89131,48414,24298,63262,48651,52724,34065,31330,41565,25019,73816,66310,41330,123173,7495,33129,58755,36838,52776,23924,63218,24922,49280,43649,15743,26101,6681,42663,125106,35400,22915,13174,28032,75279,33417,55574,69047,18386,45114,248001,22869,15629,41771,48641,62570,18026,38261,34795,13042,16679,35003,19616,36958,34756,51978,17696,42519,66640,23735,17319,44706,32641,30642,41845,142040,41245,21473,42406,51734,61925,27583,34877,15114,33840,33103,15318,72405,21544,98717,30995,27168,78718,14135,23687,29324,31423,42189,35533,33700,32188,48199,13237,21926,19435,17085,29775,24611,21297,27017,11293,27969,28913,35841,4031,38908,39622,983,37769,52680,33934,21017,29870,46022,27769
"TCGA-C8-A1HI-01A-11R-A137-07",990505,203561,304143,121363,202342,215132,235689,274973,218480,155438,341618,212184,141802,152696,150933,91896,256139,279134,496339,170784,151535,102778,114012,110608,85858,113343,175804,128316,96299,78940,121301,144657,139364,125795,129824,111586,108396,66450,93035,122293,99324,243992,63502,162556,175208,70846,107319,71992,97541,113979,159596,115123,45199,133555,108620,91127,59741,79638,111938,87453,110526,97710,98517,46007,63144,132125,68748,108813,91410,71691,72869,63623,170788,112342,68015,80791,58498,78018,43427,63820,65730,38222,73661,114624,66366,37569,97958,87867,53466,104537,84834,90215,39773,67434,420446,89852,106054,79464,69688,78062,36433,96046,60181,79566,62920,53135,78991,91345,65641,60175,148559,58427,123956,49963,65482,86993,71043,64779,115381,101853,67364,80793,63700,72528,67559,202011,98670,81092,52693,61014,86324,75296,136410,52153,58004,78506,69395,57373,86758,60383,56486,29915,60481,91383,73555,50742,59916,56835,59967,56877,75072,91320,24981,50793,57892,60272,63878,48874,75579,33496,48621,65704,45280,56671,35420,44699,35231,62817,91820,73201,47798,53156,57764,62217,32897,39690,51821,48198,75962,29466,63194,63876,32033,26640,43073,34422,54682,55191,36515,43726,25664,46637,29518,72990,58981,44201,61603,43734,47418,73589
"TCGA-C8-A1HJ-01A-11R-A13Q-07",869975,84670,680063,141204,81499,108510,214297,126256,207909,77815,131637,115668,64410,695521,81262,11065,18599,130219,411127,228497,207955,16698,416158,89358,63481,241719,46054,201362,93771,45257,110726,78189,110444,198190,85168,227972,397563,63913,81439,188315,188652,41080,55010,52076,51826,87346,133475,29304,51621,66765,18607,88340,31153,222147,71608,86249,32373,100057,135749,74346,76951,99801,50031,233931,23598,13177,113790,148016,117639,44615,2789,81882,145033,157143,46970,36049,53277,85141,23303,71970,86550,45925,139564,7808,52949,14844,41860,90885,8959,106805,129007,64906,134594,88973,56840,21387,77496,79580,90754,165458,72798,53448,69457,40508,82249,27144,65013,16184,42733,61262,10265,80606,4984,67198,167069,86120,65888,38907,13186,60652,60375,75706,33476,73010,105225,6148,504430,2585,44432,44013,53296,24275,79381,116887,20049,19698,37508,32506,63503,15098,39109,45762,17203,15177,51122,8044,97540,50760,40375,38465,69671,40415,7610,132409,127117,142580,50556,73094,39041,28115,52093,80096,72013,98741,19360,69856,9350,5886,10787,27515,69559,103992,39106,56451,5629,69534,143781,37488,43586,18949,32782,21911,60271,12794,42836,37605,74500,19029,81285,2677,52101,58420,99171,44018,44606,53082,16968,18008,66000,559
"TCGA-C8-A1HK-01A-21R-A13Q-07",753636,136502,219022,104719,96252,92018,254036,100201,56401,60910,158158,101661,57831,144277,79126,35586,108824,185136,358852,85795,124630,77957,189733,68842,56430,88575,88557,80503,96834,54514,91603,84204,79674,92013,52670,74583,97271,40140,62735,97056,111035,79248,38067,43565,233983,35960,105825,48233,87060,197840,34173,107467,26091,79692,40785,24224,43468,89050,62956,72950,68575,40248,55471,105797,31119,54715,61094,47909,38265,63629,18628,27014,148084,72485,21549,33607,37891,43942,27340,30296,61213,36418,42696,28573,181582,11923,38596,61249,9502,55799,39215,64793,22188,45937,68720,28868,53983,26112,116760,49581,34946,43771,39262,51008,30401,31476,47739,22365,33880,33894,54518,52078,13049,54282,44944,54697,27872,17968,13750,91303,37120,38587,45750,35605,53547,15399,22024,13451,27582,25903,38405,27116,52566,39478,40786,33012,30942,7853,39932,14670,21886,28842,21505,5274,54965,6746,44536,42384,28723,34696,71070,45033,8210,69032,29191,47470,52544,27651,11611,18160,36430,34863,30702,33058,22174,29361,54478,29040,20199,53805,37872,42450,34380,19934,10300,26396,46401,25402,41124,19521,38925,12708,29559,9689,96429,37449,18544,47494,33800,6030,16969,27098,379,34369,21689,19051,16965,15352,55969,9218
"TCGA-C8-A1HL-01A-11R-A137-07",616809,256121,429540,304380,238773,239317,101246,112923,259638,189058,157927,108817,58564,246445,98655,32916,100166,120438,127673,152374,132484,57915,74325,67352,51539,128642,87372,76619,144511,67400,88860,37626,75684,58501,265592,131025,149404,45689,94332,110214,69711,86487,45560,65269,9399,45645,147196,45794,94561,11226,73666,83054,83703,126713,84170,72825,136721,107843,143712,86221,72150,55734,52507,62379,30489,60550,59783,48940,83169,41481,7544,38913,166219,71085,196095,67791,56118,61846,47741,49165,83997,34087,49601,32934,56630,19741,45720,66812,34207,54178,42809,55406,39471,29094,110752,32285,130231,70538,122124,40464,15150,72754,31566,70751,64926,34170,64242,48011,47082,70760,69695,34333,121020,68675,43417,49721,48491,33152,87145,48539,36290,57200,34925,23974,52787,31315,72174,21186,47942,70968,67003,28473,40526,46031,9347,33134,32238,35664,41248,31054,75297,24920,52053,121835,47203,22537,38685,35993,55844,41826,57988,67757,29718,44418,56370,71233,28609,27274,16035,43862,39291,39847,49327,69085,27805,47921,9586,61106,23575,34519,35629,47275,34732,66847,26198,49836,50319,22482,23254,16451,40720,39336,31486,34066,55270,24185,58061,29726,34020,8685,19298,22185,73533,52807,33362,28079,49658,21680,43400,38202
"TCGA-C8-A1HM-01A-12R-A137-07",454543,75178,275900,339117,58472,53429,182402,144498,112046,34802,133197,377842,54914,188346,45702,33441,129286,185487,196615,96400,57096,203015,74195,92609,47975,61299,64191,31194,133868,299559,85170,119964,44315,75657,240688,55099,96596,38563,75595,50730,116570,93623,264036,108767,363509,57575,47540,56474,41397,45377,72992,102390,16054,58499,27681,31141,12424,105754,38617,30199,63181,50228,57832,77233,151689,101457,82682,70976,56002,62296,92800,29867,59297,33116,41979,39338,35299,26117,68104,61773,80638,160858,28703,57022,64317,16104,69065,70266,7313,38121,35461,64651,29541,44758,121680,49423,58712,44770,52423,52162,55003,52437,43037,40092,22785,16003,20264,29153,26021,36171,77665,27482,7571,22525,35748,54660,72368,39812,10199,49833,28945,21607,58835,25541,43986,42047,15574,41178,24877,24178,32182,24414,67016,25086,14644,30964,50607,25017,41957,12768,22773,26932,17406,14830,49927,18851,32511,25127,26884,21390,64251,37972,8049,31051,23269,60311,74213,19867,16325,8335,38607,42258,12786,52520,126424,21476,32430,35436,14617,38980,33092,24082,17855,18585,9303,64788,43503,16901,24968,27320,51499,36318,25599,8148,52974,19351,22277,26313,24620,12747,16469,22502,8625,23237,24885,25490,32159,22538,33319,39831
"TCGA-C8-A1HN-01A-11R-A137-07",609629,219677,391314,318561,208088,309554,272541,281612,103309,174435,278617,129680,72220,190585,92185,68774,259939,171351,90222,124973,119048,126182,187734,79346,84760,101551,91643,102326,117842,98761,68079,130967,270912,175168,42975,85765,149234,80003,76709,92518,217901,175769,60292,189646,10865,24341,138826,120882,75903,236812,72910,82595,48454,104310,91989,56322,77902,71160,75231,52848,102749,99412,95163,84296,45449,65548,70284,98956,45016,60123,32758,48568,129180,72433,81151,70309,77225,60602,62861,54462,90363,30972,56551,35565,93463,35175,81731,94711,50647,79983,45368,97497,68359,103912,119232,91429,75193,75972,48198,85721,21915,67566,63512,66266,49843,44285,47067,58172,50107,32884,53852,30668,27427,40415,27123,74689,42562,97583,40156,76800,68587,56402,72217,49939,81624,324170,28428,80739,45361,59849,90717,40696,75679,34066,62372,45246,199339,81258,65400,25376,59077,50113,55103,86004,48495,73487,53476,36200,64643,38723,56316,64671,17300,47850,38658,59757,36605,27647,18743,38366,53476,47402,41581,60588,44643,40877,48205,62578,18018,46360,62542,34299,56629,41335,21532,45137,65900,46933,26544,60110,98722,40304,38793,15651,67983,14265,46910,47827,30656,35349,19936,25717,11828,52103,65391,50020,31626,30275,66798,90461
"TCGA-C8-A1HO-01A-11R-A13Q-07",555981,132535,165827,116325,115448,126493,177070,113117,117015,98231,193223,363425,145683,172397,204118,61808,259426,335303,223822,98794,99716,87904,158506,120654,59140,193384,132622,119404,89204,49674,119083,72269,133405,106951,15264,114064,68806,51091,34920,95306,113387,112131,403194,75357,122044,65272,53992,102363,105659,91072,45137,83468,42588,82763,86124,27358,36711,97452,65902,91626,64650,97545,110706,109723,203961,21538,70792,50407,39059,71449,84490,35478,58673,41369,37603,25802,63233,80595,45812,68876,51651,266765,62106,58561,64316,12188,90518,55323,35378,81067,51761,72271,42662,63786,130942,26158,85641,57842,37541,76245,85930,57602,32698,46461,79771,53077,63240,31695,61723,61560,26139,38230,19706,50295,65320,57482,35114,36083,30980,137955,57755,65824,71721,39681,45118,189222,26004,17946,39797,76149,32844,32407,127274,49267,52749,17381,67548,75204,58991,29151,26336,53556,37750,42712,33863,65491,39294,61431,46081,39565,114263,41529,12125,43473,42179,43772,92058,28647,23349,31061,41262,35601,49476,28969,12270,45054,29110,82645,25377,47735,33572,44725,52439,52144,24356,43677,30899,25932,34791,22510,31084,30703,33295,14185,83389,51870,44594,31266,50106,21811,36057,38676,36733,93983,43775,24786,24202,31789,52628,208006
"TCGA-C8-A26V-01A-11R-A16F-07",1192708,403992,394327,492167,376717,336003,374761,617972,100282,179566,279257,665380,174635,401289,158812,105233,261712,197882,236868,84915,124413,271093,88407,85459,108175,100294,126807,63745,142016,281677,169586,201155,133350,90055,823026,70621,176591,138757,280730,86346,80886,123172,539908,191459,40795,158783,99765,67046,94073,216226,76779,187559,81465,139001,38847,47537,62128,41091,84412,78896,107087,67064,123126,101605,314186,122783,65563,101949,186436,128085,179000,67350,87638,60985,34682,119590,72444,54381,80611,95845,75787,366886,48526,471839,48884,158689,145681,74177,57203,87635,41452,88943,30627,87608,127247,61994,92136,29132,70066,45733,168012,74758,129492,69762,30961,125441,53820,77324,62626,49579,79297,71353,61814,25792,33691,89731,115232,83579,174048,45820,75066,43835,65574,87254,121448,57014,27780,66548,29996,31523,24662,43626,53216,50985,71541,74105,41801,62256,54846,55494,21706,57659,69705,30465,80026,56421,37684,44809,37332,49281,38177,76751,47846,40951,35957,42422,53734,23764,48919,23018,35323,42926,47156,43960,87562,43060,20965,115887,22113,107668,45235,42017,40229,21970,43004,40400,30751,43424,53762,55746,94249,37640,47699,46590,36001,47243,43393,79690,43866,54856,22403,29543,26006,45144,27091,36709,76233,36128,53167,103102
"TCGA-C8-A26W-01A-11R-A16F-07",696994,576666,444756,347222,473022,516010,227174,214253,160160,305352,212845,328557,116998,202819,154458,83887,188190,121730,141973,117360,121892,150932,100896,90250,88765,125912,108750,108737,114380,181026,95616,75606,75122,96589,40983,102406,116784,105757,134228,96558,97265,122851,192164,92838,254980,36308,102929,96142,102532,72068,80853,117457,108389,114251,54428,66098,145334,137191,69441,55518,92719,94085,49644,139208,139485,157256,78244,68337,79943,44484,161742,50715,86959,77764,222346,91813,68429,74930,51122,89144,139856,206228,70939,129890,177130,32748,70746,86978,29473,48050,51343,93097,54056,73887,36767,60441,89154,44760,98283,47749,61016,63260,39630,84159,41274,39867,53057,89886,45358,67658,95792,52399,52056,49782,50528,57473,68117,80771,70112,50332,44180,42094,72375,65455,69260,39684,51612,58701,38182,39883,45365,29981,46210,54656,44769,28815,54439,34028,61691,50151,136040,47768,61977,75852,67610,29116,48612,42903,46114,35349,55890,45809,53448,59985,52097,46139,45061,43417,47333,66965,35406,44088,52417,51434,81044,49331,19349,80928,34286,48162,39461,46415,29846,28979,50850,33196,82889,26493,41519,39934,58232,59360,55330,46088,39752,34052,70155,62591,46994,28476,28909,41100,48388,33221,33642,30284,45825,39785,57721,72850
"TCGA-C8-A26X-01A-31R-A16F-07",987206,234739,627049,327771,197360,209866,130239,305845,182488,149915,176192,303119,118798,419294,169154,39251,62983,69695,67878,83020,192942,119519,122739,105492,85840,90930,134235,86721,236447,181948,117271,60221,79049,121217,54296,146479,80152,76324,87175,97015,71752,82457,147059,158462,3220387,88657,92392,60855,57050,88800,93011,60660,59385,138981,68137,80688,46918,59041,126893,44747,51790,66505,40258,71119,94181,47009,75581,90603,119044,79727,131310,67831,62345,80726,58901,92959,50789,66751,95023,103336,70692,68070,46843,68475,82763,27327,56476,43426,51712,32944,56061,40148,35123,22274,57965,38001,124249,64297,236610,68718,15251,48562,110466,50958,67883,45098,42141,51352,48209,42706,44869,86504,133787,46202,76412,37625,64663,47023,23593,21507,46665,41178,42736,20032,41551,5351,50940,28856,30606,69039,58741,29778,23799,50323,25331,55807,20255,20910,39995,37006,30496,17684,56541,18296,42245,39476,48782,32892,40727,33963,75156,48426,32867,51042,60411,56969,23314,30476,32497,50650,36457,19186,30337,31787,108919,42180,50691,13314,16265,36095,36013,41152,34407,48486,31269,56439,27119,31366,20610,24009,22404,33049,21739,23886,31983,22444,37108,21069,37026,54774,60961,39644,71339,17723,27109,38500,38031,40572,17109,2740
"TCGA-C8-A26Y-01A-11R-A16F-07",242094,137972,378669,91801,88439,77790,253483,285297,72124,74971,207161,288590,49390,165100,54769,19949,108869,93749,203213,48918,33342,77097,83567,30844,29358,40598,42766,29963,125082,106544,43271,62650,39610,29605,2980,34683,150898,77755,64359,45610,66869,67140,148173,368444,34260,37401,92645,35053,40613,24358,175787,57645,22356,96703,44393,42111,17108,24033,28175,33499,32998,31243,74414,78187,82198,29933,29609,42015,101268,100755,11345,16503,61882,23912,32223,142760,48697,23103,114812,58149,76273,110420,20390,90704,23061,25353,75933,53380,18259,38957,32474,68262,19898,33785,58343,73228,78765,26188,192001,24881,45922,23904,135168,51010,28433,78600,20816,40928,26569,18842,26076,13103,39204,15898,34717,45748,61267,123832,4004,52625,55867,20773,52682,34137,87084,4618,18182,54888,16725,23429,99055,12751,48802,34495,65758,30934,33324,6275,36255,10071,19760,40088,15132,8586,29269,45568,25353,13189,46411,16875,155674,39710,19932,37307,17113,30751,43937,17661,51816,33802,28518,98639,11172,57856,40098,26720,186023,10337,54566,30447,36292,19430,26165,18617,12242,24394,39598,19120,34787,19728,34968,31155,40730,19172,42186,25886,20232,37436,13850,166846,15405,13760,7480,16825,31040,14805,25394,18209,39845,5298
"TCGA-C8-A26Z-01A-11R-A16F-07",901949,479599,167111,358419,386967,373530,319114,86370,136010,220513,216179,89820,91980,119014,83486,84680,269485,222465,305343,103472,112687,96252,58073,114899,47398,63666,98029,79463,69010,31497,75229,130714,74487,65539,984308,73704,48737,60397,72690,49554,119426,229228,28069,143221,66536,53316,77628,56390,79701,109047,274751,132603,118269,108717,54036,42967,148585,66978,49453,51733,50928,51047,89164,80714,36916,167698,70951,77363,90638,64934,101854,30141,108835,45494,51052,76507,60451,32824,56024,29667,76178,30929,27792,37661,47349,20908,34915,74174,114968,39723,35500,55635,30997,33229,71916,141701,91961,34417,93099,39826,64200,48745,34734,64086,38905,38050,18735,56020,37216,40912,101808,44042,294606,33607,25386,57318,49040,75986,24412,80870,33109,41424,57233,26946,55587,48638,24108,135199,28675,32479,33412,37665,64376,28871,48465,109746,47629,32871,44170,37572,39411,48176,50072,121792,58854,104874,28722,30551,53999,32158,85908,67655,46768,23292,33150,29221,47864,24922,29653,30440,35815,42737,14151,70485,18231,22329,56475,98850,49550,57023,46216,23294,37205,25899,43377,20166,44590,33621,51328,23310,19197,42542,36269,51970,162115,41287,22734,46345,22084,67065,14681,32056,39868,35350,39284,18530,43142,23826,29069,47039
"TCGA-C8-A273-01A-11R-A16F-07",866245,534254,495694,534638,428704,463434,312577,148382,209362,250882,260404,104839,199264,169981,185480,104096,173018,159798,111844,127970,154831,115847,74888,221630,111321,129446,132190,57672,99491,59058,140415,147456,88102,67574,17711,71527,167594,133582,115800,109540,108662,105461,64791,184640,80843,82840,79261,131795,95741,39742,103344,86238,153590,95926,62691,57739,161052,72955,74009,76970,86439,65681,100535,78244,48619,240904,160096,86262,62983,231453,51731,76767,68403,54139,37847,76150,67149,77114,76202,111949,76552,70735,43429,90983,95180,68364,122085,61931,72702,54354,62945,61825,63392,41292,178142,56752,100477,58303,88671,59175,54179,45463,41019,65319,28543,72475,49173,97611,61831,57110,125460,29795,2358,60567,31484,59806,41549,77574,86630,65629,55194,52002,67735,36737,41109,89426,43561,66544,58735,39161,46729,31370,66132,40694,44087,58537,177072,108323,44825,29467,24160,31115,52925,47769,46267,66462,38537,43180,31250,55312,103327,67678,65229,35108,46242,46452,47055,31673,25061,56140,71349,32682,28829,77587,23031,46843,104029,162101,13580,44694,65850,39901,36938,24688,65006,47632,36761,26464,29797,58590,22301,38141,32049,60439,105587,38934,39172,55439,40184,44938,37409,44068,105727,42039,26381,38711,51565,43852,39509,117348
